Core(s),# of Threads,Execution Number,μs,Seconds,Average μs
5,5,1,2586,0.002587,
5,5,2,2170,0.002171,
5,5,3,4725,0.004725,
5,5,4,1307,0.001307,
5,5,5,2050,0.002051,
5,5,6,2043,0.002044,2139
5,6,1,6649,0.006650,
5,6,2,1560,0.001560,
5,6,3,1895,0.001895,
5,6,4,3463,0.003463,
5,6,5,1964,0.001964,
5,6,6,1902,0.001902,2588
5,7,1,1745,0.001746,
5,7,2,2330,0.002330,
5,7,3,1917,0.001918,
5,7,4,4116,0.004117,
5,7,5,1787,0.001787,
5,7,6,5957,0.005958,1982
5,8,1,1276,0.001277,
5,8,2,2924,0.002924,
5,8,3,5065,0.005065,
5,8,4,3995,0.003996,
5,8,5,13214,0.013214,
5,8,6,6682,0.006683,4412
5,9,1,2088,0.002089,
5,9,2,7326,0.007326,
5,9,3,2552,0.002553,
5,9,4,2275,0.002276,
5,9,5,2219,0.002219,
5,9,6,3881,0.003881,2743
5,10,1,2044,0.002044,
5,10,2,2090,0.002091,
5,10,3,3483,0.003483,
5,10,4,2919,0.002919,
5,10,5,2125,0.002125,
5,10,6,2047,0.002047,2110
5,11,1,2336,0.002336,
5,11,2,1754,0.001755,
5,11,3,2048,0.002049,
5,11,4,3111,0.003111,
5,11,5,12470,0.012471,
5,11,6,3058,0.003058,3619
5,12,1,6086,0.006087,
5,12,2,5264,0.005265,
5,12,3,2041,0.002042,
5,12,4,2059,0.002060,
5,12,5,4101,0.004102,
5,12,6,2087,0.002088,3258
5,13,1,2410,0.002410,
5,13,2,1808,0.001809,
5,13,3,1913,0.001914,
5,13,4,2051,0.002052,
5,13,5,2088,0.002089,
5,13,6,1769,0.001769,1711
5,14,1,3149,0.003149,
5,14,2,1723,0.001724,
5,14,3,2097,0.002097,
5,14,4,2018,0.002018,
5,14,5,2009,0.002010,
5,14,6,1848,0.001849,1832
5,15,1,1976,0.001976,
5,15,2,5155,0.005155,
5,15,3,6998,0.006999,
5,15,4,7839,0.007840,
5,15,5,2293,0.002293,
5,15,6,1778,0.001779,4043
5,16,1,1381,0.001381,
5,16,2,1220,0.001221,
5,16,3,1832,0.001833,
5,16,4,1329,0.001330,
5,16,5,1427,0.001427,
5,16,6,1347,0.001347,1198
5,17,1,4433,0.004434,
5,17,2,4337,0.004338,
5,17,3,1876,0.001876,
5,17,4,1583,0.001584,
5,17,5,1316,0.001316,
5,17,6,1932,0.001932,2257
5,18,1,1787,0.001787,
5,18,2,3875,0.003876,
5,18,3,1913,0.001914,
5,18,4,1858,0.001859,
5,18,5,1680,0.001680,
5,18,6,5126,0.005127,1852
5,19,1,4919,0.004919,
5,19,2,3425,0.003426,
5,19,3,4472,0.004472,
5,19,4,2346,0.002347,
5,19,5,1885,0.001886,
5,19,6,1975,0.001976,2841
5,20,1,4987,0.004987,
5,20,2,3728,0.003728,
5,20,3,3276,0.003276,
5,20,4,2227,0.002227,
5,20,5,5367,0.005367,
5,20,6,2024,0.002025,3264
5,21,1,1876,0.001876,
5,21,2,3165,0.003166,
5,21,3,1652,0.001652,
5,21,4,2200,0.002201,
5,21,5,3153,0.003154,
5,21,6,1889,0.001890,2007
5,22,1,2017,0.002018,
5,22,2,9518,0.009518,
5,22,3,2544,0.002544,
5,22,4,3422,0.003422,
5,22,5,5759,0.005759,
5,22,6,1878,0.001878,3876
5,23,1,4963,0.004964,
5,23,2,5004,0.005004,
5,23,3,2321,0.002321,
5,23,4,1840,0.001840,
5,23,5,5718,0.005719,
5,23,6,2060,0.002061,3307
5,24,1,2705,0.002706,
5,24,2,3853,0.003854,
5,24,3,2919,0.002920,
5,24,4,1771,0.001771,
5,24,5,5930,0.005931,
5,24,6,5931,0.005931,2863
5,25,1,1907,0.001907,
5,25,2,1987,0.001987,
5,25,3,6056,0.006057,
5,25,4,1899,0.001900,
5,25,5,1457,0.001457,
5,25,6,1740,0.001740,2217
5,26,1,1548,0.001549,
5,26,2,1465,0.001466,
5,26,3,1509,0.001509,
5,26,4,2674,0.002674,
5,26,5,2921,0.002922,
5,26,6,2630,0.002630,1686
5,27,1,5212,0.005212,
5,27,2,1941,0.001941,
5,27,3,1404,0.001405,
5,27,4,2168,0.002168,
5,27,5,2148,0.002149,
5,27,6,2431,0.002432,2145
5,28,1,1727,0.001728,
5,28,2,1594,0.001594,
5,28,3,1760,0.001761,
5,28,4,1550,0.001550,
5,28,5,1570,0.001570,
5,28,6,1637,0.001638,1366
5,29,1,5358,0.005358,
5,29,2,1626,0.001627,
5,29,3,7666,0.007667,
5,29,4,2349,0.002350,
5,29,5,2719,0.002720,
5,29,6,4602,0.004602,3286
5,30,1,1850,0.001850,
5,30,2,2036,0.002037,
5,30,3,6068,0.006069,
5,30,4,2399,0.002400,
5,30,5,5108,0.005108,
5,30,6,6374,0.006374,2910
6,1,1,2408,0.002409,
6,1,2,2473,0.002474,
6,1,3,2416,0.002416,
6,1,4,2608,0.002609,
6,1,5,2857,0.002857,
6,1,6,2485,0.002485,2127
6,2,1,1513,0.001514,
6,2,2,1427,0.001427,
6,2,3,1214,0.001215,
6,2,4,1262,0.001263,
6,2,5,1603,0.001603,
6,2,6,1598,0.001598,1169
6,3,1,1081,0.001081,
6,3,2,1112,0.001113,
6,3,3,1485,0.001486,
6,3,4,2243,0.002243,
6,3,5,1299,0.001299,
6,3,6,1215,0.001216,1203
6,4,1,0991,0.000992,
6,4,2,0920,0.000921,
6,4,3,0875,0.000875,
6,4,4,1062,0.001063,
6,4,5,1062,0.001063,
6,4,6,0830,0.000830,0818
6,5,1,0857,0.000857,
6,5,2,4307,0.004308,
6,5,3,0830,0.000831,
6,5,4,1479,0.001480,
6,5,5,1168,0.001168,
6,5,6,1302,0.001303,1440
6,6,1,1074,0.001075,
6,6,2,2786,0.002786,
6,6,3,1612,0.001613,
6,6,4,1190,0.001190,
6,6,5,2504,0.002505,
6,6,6,5815,0.005816,1527
6,7,1,1580,0.001580,
6,7,2,0911,0.000912,
6,7,3,3471,0.003472,
6,7,4,0996,0.000997,
6,7,5,1219,0.001219,
6,7,6,2588,0.002588,1362
6,8,1,1216,0.001217,
6,8,2,1944,0.001945,
6,8,3,2272,0.002272,
6,8,4,1996,0.001996,
6,8,5,2203,0.002203,
6,8,6,1841,0.001842,1605
6,9,1,1255,0.001255,
6,9,2,1013,0.001014,
6,9,3,1138,0.001139,
6,9,4,1049,0.001050,
6,9,5,2374,0.002374,
6,9,6,1340,0.001341,1138
6,10,1,2193,0.002194,
6,10,2,0984,0.000984,
6,10,3,1165,0.001166,
6,10,4,1141,0.001141,
6,10,5,6409,0.006410,
6,10,6,1682,0.001683,1982
6,11,1,2507,0.002507,
6,11,2,1309,0.001310,
6,11,3,1316,0.001316,
6,11,4,1173,0.001173,
6,11,5,1359,0.001359,
6,11,6,1171,0.001171,1277
6,12,1,1408,0.001409,
6,12,2,1290,0.001290,
6,12,3,2225,0.002226,
6,12,4,1394,0.001394,
6,12,5,1086,0.001087,
6,12,6,2204,0.002204,1233
6,13,1,1317,0.001317,
6,13,2,2013,0.002013,
6,13,3,1525,0.001526,
6,13,4,1815,0.001815,
6,13,5,2388,0.002389,
6,13,6,1499,0.001500,1509
6,14,1,2013,0.002014,
6,14,2,1694,0.001694,
6,14,3,1658,0.001659,
6,14,4,1541,0.001541,
6,14,5,1291,0.001291,
6,14,6,1930,0.001931,1366
6,15,1,1829,0.001830,
6,15,2,1424,0.001425,
6,15,3,1264,0.001265,
6,15,4,1192,0.001193,
6,15,5,2162,0.002162,
6,15,6,1409,0.001410,1311
6,16,1,1442,0.001443,
6,16,2,1304,0.001304,
6,16,3,1234,0.001234,
6,16,4,1519,0.001519,
6,16,5,1315,0.001315,
6,16,6,1073,0.001074,1135
6,17,1,6858,0.006858,
6,17,2,1199,0.001200,
6,17,3,1297,0.001298,
6,17,4,5617,0.005618,
6,17,5,1475,0.001476,
6,17,6,1215,0.001215,2741
6,18,1,1320,0.001320,
6,18,2,1270,0.001271,
6,18,3,8072,0.008072,
6,18,4,1707,0.001707,
6,18,5,1264,0.001264,
6,18,6,1589,0.001589,2272
6,19,1,1485,0.001486,
6,19,2,1507,0.001508,
6,19,3,1179,0.001179,
6,19,4,1199,0.001199,
6,19,5,1079,0.001079,
6,19,6,1083,0.001084,1074
6,20,1,423738,0.423738,
6,20,2,3813,0.003814,
6,20,3,1560,0.001560,
6,20,4,1384,0.001384,
6,20,5,1882,0.001883,
6,20,6,2388,0.002389,72062
6,21,1,4056,0.004056,
6,21,2,1862,0.001862,
6,21,3,2900,0.002901,
6,21,4,1789,0.001790,
6,21,5,1532,0.001533,
6,21,6,4073,0.004073,2023
6,22,1,1327,0.001327,
6,22,2,1414,0.001414,
6,22,3,1517,0.001518,
6,22,4,5199,0.005199,
6,22,5,1712,0.001713,
6,22,6,1778,0.001779,1861
6,23,1,1209,0.001210,
6,23,2,1308,0.001308,
6,23,3,1753,0.001754,
6,23,4,5218,0.005219,
6,23,5,2113,0.002113,
6,23,6,3158,0.003158,1933
6,24,1,8105,0.008106,
6,24,2,1439,0.001439,
6,24,3,1723,0.001724,
6,24,4,2016,0.002016,
6,24,5,1781,0.001781,
6,24,6,1570,0.001570,2510
6,25,1,1586,0.001586,
6,25,2,1467,0.001467,
6,25,3,1450,0.001451,
6,25,4,1420,0.001420,
6,25,5,1369,0.001369,
6,25,6,4557,0.004558,1215
6,26,1,1743,0.001743,
6,26,2,1598,0.001599,
6,26,3,1807,0.001808,
6,26,4,1510,0.001511,
6,26,5,6312,0.006312,
6,26,6,1671,0.001671,2161
6,27,1,2206,0.002206,
6,27,2,2153,0.002154,
6,27,3,3166,0.003167,
6,27,4,1304,0.001304,
6,27,5,1452,0.001452,
6,27,6,1316,0.001316,1713
6,28,1,499757,0.499757,
6,28,2,5974,0.005975,
6,28,3,2130,0.002130,
6,28,4,1440,0.001440,
6,28,5,1474,0.001475,
6,28,6,1668,0.001669,85129
6,29,1,2789,0.002789,
6,29,2,4149,0.004149,
6,29,3,1582,0.001583,
6,29,4,1702,0.001702,
6,29,5,1581,0.001581,
6,29,6,1641,0.001641,1967
6,30,1,1578,0.001579,
6,30,2,1409,0.001409,
6,30,3,4837,0.004838,
6,30,4,1594,0.001595,
6,30,5,2244,0.002244,
6,30,6,1283,0.001283,1943
